                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3582,                 4.0309,                  1.596,                0.41305,                0.58734,                0.53966,                0.38483,                  1.198,                 2.0274,                 1.5384,                  0.073,                  0.003,                  0.003
                      1,                0.85788,                 1.6762,                 1.2067,                0.58741,                0.86307,                0.81955,                0.59977,                 1.0899,                 1.1511,                 1.2153,                0.04507,              0.0060698,              0.0060698
                      2,                0.78745,                 1.3658,                 1.1354,                  0.793,                0.70525,                0.76531,                0.51112,                  1.193,                 1.4817,                 1.3273,               0.017109,              0.0091089,              0.0091089
                      3,                0.75467,                 1.2499,                 1.0764,                0.25349,                0.04167,                0.00537,                0.00106,                 2.2675,                 5.4609,                 2.8094,              0.0098515,              0.0098515,              0.0098515
                      4,                 0.7408,                 1.0668,                 1.0635,                0.46718,                0.44318,                0.29122,                  0.182,                 1.6862,                 4.7487,                 1.8362,              0.0098515,              0.0098515,              0.0098515
                      5,                0.73277,                0.96715,                 1.0525,                0.75144,                0.74324,                0.75253,                0.51627,                 1.2328,                 1.8101,                 1.3032,               0.009802,               0.009802,               0.009802
                      6,                0.76937,                0.98276,                 1.0773,                0.84456,                0.80936,                0.89138,                0.58089,                 1.2781,                 1.2371,                 1.4024,              0.0097525,              0.0097525,              0.0097525
                      7,                0.74001,                0.93929,                 1.0546,                0.69963,                 0.5205,                0.66715,                0.38951,                 1.4972,                  1.625,                 1.6266,               0.009703,               0.009703,               0.009703
                      8,                0.74623,                0.85952,                 1.0589,                0.72418,                0.60322,                0.70908,                 0.3928,                 1.6508,                 1.4843,                 1.8415,              0.0096535,              0.0096535,              0.0096535
                      9,                0.75483,                0.87355,                 1.0581,                0.71749,                0.64551,                0.77571,                0.49312,                 1.4663,                 1.5975,                 1.5618,               0.009604,               0.009604,               0.009604
                     10,                0.73219,                0.79356,                 1.0269,                0.90738,                0.66157,                0.72851,                0.44782,                 1.4021,                 1.6841,                 1.5011,              0.0095545,              0.0095545,              0.0095545
                     11,                0.72297,                0.80826,                 1.0309,                0.89714,                0.74445,                 0.8688,                0.58249,                 1.2883,                 1.1958,                  1.422,               0.009505,               0.009505,               0.009505
                     12,                0.77219,                0.83701,                 1.0891,                0.82247,                0.75643,                0.83899,                0.55166,                 1.3031,                 1.1074,                 1.4873,              0.0094555,              0.0094555,              0.0094555
                     13,                0.73886,                0.81244,                 1.0628,                0.87692,                0.88624,                0.94205,                0.64613,                 1.2283,                0.82169,                 1.3331,               0.009406,               0.009406,               0.009406
                     14,                0.71066,                0.78575,                 1.0547,                0.85383,                0.84953,                0.89757,                0.62227,                 1.2145,                0.90987,                 1.3499,              0.0093565,              0.0093565,              0.0093565
                     15,                0.68219,                0.71884,                 1.0272,                0.74074,                0.63274,                0.69479,                0.41076,                 1.3044,                 1.4845,                 1.4217,               0.009307,               0.009307,               0.009307
                     16,                0.67341,                 0.7361,                 1.0143,                0.93705,                0.92527,                0.93122,                0.66048,                 1.1972,                0.90197,                 1.3336,              0.0092575,              0.0092575,              0.0092575
                     17,                0.72332,                0.76079,                 1.0503,                0.94194,                0.87271,                0.92198,                0.62561,                  1.182,                0.79792,                 1.3485,               0.009208,               0.009208,               0.009208
                     18,                0.69932,                0.76444,                  1.039,                0.74223,                0.56304,                0.62874,                0.39439,                  1.473,                 1.7365,                 1.6534,              0.0091585,              0.0091585,              0.0091585
                     19,                 0.6737,                0.73471,                  1.027,                0.86069,                0.84283,                0.88704,                0.64602,                 1.2183,                0.93906,                  1.405,               0.009109,               0.009109,               0.009109
                     20,                 0.6602,                0.72445,                 1.0316,                0.82802,                0.77524,                 0.8431,                0.58881,                 1.2347,                0.95275,                 1.4348,              0.0090595,              0.0090595,              0.0090595
