                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3717,                  4.735,                 1.6606,                 0.2393,                0.40642,                0.34048,                0.22482,                 1.2264,                 2.5424,                 1.6335,                  0.073,                  0.003,                  0.003
                      1,                0.81585,                  1.804,                 1.2341,                0.68142,                0.56934,                0.67009,                0.47599,                 1.1342,                 2.0025,                 1.3737,               0.045094,               0.006094,               0.006094
                      2,                0.74285,                 1.4013,                 1.1382,                0.39175,                0.27007,                 0.2662,                0.15691,                 1.7331,                 3.3137,                 1.9681,               0.017182,              0.0091818,              0.0091818
                      3,                0.75069,                 1.1674,                 1.0697,                0.46629,                0.13542,                  0.139,                0.05454,                 2.1528,                 4.5074,                 2.7309,              0.0099703,              0.0099703,              0.0099703
                      4,                0.77144,                 1.0373,                 1.0785,                0.55796,                0.41335,                0.53415,                0.28753,                 1.7835,                 2.4406,                 1.9737,              0.0099703,              0.0099703,              0.0099703
                      5,                0.77336,                0.99461,                 1.1166,                0.65018,                0.44792,                0.53557,                0.29838,                 1.6275,                 2.2687,                 1.7888,              0.0099604,              0.0099604,              0.0099604
                      6,                0.76238,                0.99598,                 1.0872,                0.51813,                0.53983,                0.59325,                0.31909,                 1.8235,                  1.795,                 2.0601,              0.0099505,              0.0099505,              0.0099505
                      7,                0.76314,                0.94632,                 1.0852,                0.80608,                 0.6508,                0.80592,                0.54278,                 1.3772,                 1.2496,                  1.617,              0.0099406,              0.0099406,              0.0099406
                      8,                  0.749,                0.90916,                  1.074,                0.72154,                0.64039,                0.71591,                0.43323,                 1.5254,                 1.4108,                 1.7686,              0.0099307,              0.0099307,              0.0099307
                      9,                0.75353,                0.90179,                 1.0779,                0.69189,                0.62517,                 0.6901,                0.41716,                 1.4686,                 1.8149,                 1.6785,              0.0099208,              0.0099208,              0.0099208
                     10,                0.75688,                0.89376,                 1.0692,                0.88255,                0.72949,                0.83637,                0.51156,                  1.379,                 1.2661,                 1.5166,              0.0099109,              0.0099109,              0.0099109
                     11,                0.72765,                0.86509,                 1.0679,                0.84109,                0.85869,                0.88282,                0.54557,                 1.3181,                 1.0331,                 1.4899,               0.009901,               0.009901,               0.009901
                     12,                0.73277,                 0.8095,                   1.08,                0.51579,                0.54677,                0.51322,                0.27861,                 1.7414,                 2.4699,                 2.0822,              0.0098911,              0.0098911,              0.0098911
                     13,                0.72704,                  0.822,                 1.0591,                0.83258,                0.79197,                0.82366,                 0.5309,                   1.39,                 1.2591,                 1.6755,              0.0098812,              0.0098812,              0.0098812
                     14,                0.74693,                0.79816,                 1.0663,                0.82954,                0.88148,                0.92582,                0.65735,                 1.1081,                0.77225,                  1.403,              0.0098713,              0.0098713,              0.0098713
                     15,                0.73061,                0.75774,                 1.0583,                0.75249,                0.72559,                0.80403,                0.52762,                 1.2909,                 1.0615,                 1.4529,              0.0098614,              0.0098614,              0.0098614
                     16,                0.69439,                0.76569,                 1.0397,                 0.9379,                0.77936,                0.92702,                0.63571,                 1.1644,                0.77291,                 1.3378,              0.0098515,              0.0098515,              0.0098515
                     17,                0.70885,                0.78543,                 1.0667,                0.81644,                0.82473,                0.88284,                0.51827,                   1.44,                0.97725,                 1.6996,              0.0098416,              0.0098416,              0.0098416
                     18,                0.70871,                0.75372,                 1.0475,                0.87841,                 0.8125,                0.90169,                0.63759,                 1.1706,                0.90067,                 1.3518,              0.0098317,              0.0098317,              0.0098317
